1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11	1
2	2	2	2	2	1	2	2	2	2	2	1	1	1	1	1	3	1
3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3
4	4	4	4	4	4	1	4	4	4	4	4	4	4	4	4	3	4
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	5	5	5	5	5	5	5	5	5	1	1	1	5	5	5	3	5
6	6	6	6	6	6	6	6	6	6	6	1	1	6	6	6	3	6
7	7	7	7	7	7	7	7	7	7	7	1	1	7	7	7	3	7
5	5	5	5	5	5	5	5	5	5	5	1	1	1	5	5	3	5
8	8	8	8	8	8	8	8	8	8	8	1	1	8	1	1	3	8
9	9	9	9	1	9	9	9	9	9	9	9	9	9	9	9	3	9
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11	1
10	10	10	10	10	10	10	10	10	10	10	1	1	10	1	1	3	10
7	7	7	7	7	7	7	7	7	7	7	1	1	7	1	7	3	7
6	6	6	6	6	6	6	6	6	6	6	1	1	6	6	6	3	6
