-1	-1	2	3	4	10	-2	-1	-2	0	0	-1	8	5	1	1	1   -1  1
-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	1   -2  1
-2	-2	-2	-2	-2	-2	-2	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2  -2  -2
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1  -2  -1
4	4	4	4	4	4	4	4	-1	4	4	4	4	4	4	4	4   4   4
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	5	5	-1	-1	-1  -2  -1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	6	-1	7	-1  -2  -1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	7	-1	-1	-1  -2  -1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5	9	-1	-1  -2  -1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	9	-1	9	9  -2  -1
-2	-2	-2	-2	-2	11	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2  -2  -2
11	11	11	11	11	11	11	11	11	11	0	11	11	11	11	11	11  11  11
